area,name,category,url,website,description
Porur,Aimore Technologies - Porur,tech,https://www.google.com/maps/place/Aimore+Technologies+-+Porur/data=!4m7!3m6!1s0x3a52613ba6b724b5:0x6f591fc4e8064ae7!8m2!3d13.0346138!4d80.1584406!16s%2Fg%2F11qbtvzzgm!19sChIJtSS3pjthUjoR50oG6MQfWW8?authuser=0&hl=en&rclk=1,https://www.aimoretechnologies.com/locations/porur-branch/?utm_source=googlemaps&utm_medium=organic&utm_campaign=gbp,Aimore Technologies - Porur
Porur,Cognizant Technology Solutions,tech,https://www.google.com/maps/place/Cognizant+Technology+Solutions/data=!4m7!3m6!1s0x3a5260dab755919d:0xee16825cf80e3aee!8m2!3d13.0208728!4d80.1753265!16s%2Fg%2F1tg_dgmy!19sChIJnZFVt9pgUjoR7joO-FyCFu4?authuser=0&hl=en&rclk=1,http://www.cognizant.com/,Cognizant Technology Solutions
Porur,Top Tech Developers,tech,https://www.google.com/maps/place/Top+Tech+Developers/data=!4m7!3m6!1s0x3a5267000b90886f:0x11c826212ae27ddd!8m2!3d13.0387322!4d80.1926827!16s%2Fg%2F11y4bblng_!19sChIJb4iQCwBnUjoR3X3iKiEmyBE?authuser=0&hl=en&rclk=1,https://www.toptechdevelopers.in/,Top Tech Developers
Porur,SAMDESA TECHNOLOGIES,tech,https://www.google.com/maps/place/SAMDESA+TECHNOLOGIES/data=!4m7!3m6!1s0x3a52611f5e851ed5:0x8aec55da7858934!8m2!3d13.0368767!4d80.1646489!16s%2Fg%2F1jgltzxsr!19sChIJ1R6FXh9hUjoRNImFp13Frgg?authuser=0&hl=en&rclk=1,https://samdesa.com/,SAMDESA TECHNOLOGIES
Porur,Trendnologies - Porur,tech,https://www.google.com/maps/place/Trendnologies+-+Porur/data=!4m7!3m6!1s0x3a526159e8041a9b:0x6c9e5382668123a1!8m2!3d13.0346539!4d80.1597583!16s%2Fg%2F11m634lkkb!19sChIJmxoE6FlhUjoRoSOBZoJTnmw?authuser=0&hl=en&rclk=1,https://trendnologies.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile_porur,Trendnologies - Porur
Porur,"Commerzone, Porur, Chennai",tech,"https://www.google.com/maps/place/Commerzone,+Porur,+Chennai/data=!4m7!3m6!1s0x3a5260df19db2eb5:0xa36f0409c88be564!8m2!3d13.0294324!4d80.1691952!16s%2Fg%2F11c2kk3brr!19sChIJtS7bGd9gUjoRZOWLyAkEb6M?authuser=0&hl=en&rclk=1",https://www.mindspaceindia.com/porur/,"Commerzone, Porur, Chennai"
Porur,RK Techsoft India,tech,https://www.google.com/maps/place/RK+Techsoft+India/data=!4m7!3m6!1s0x3a52611459ced17b:0xb1adb6cd0532333b!8m2!3d13.0521678!4d80.1618799!16s%2Fg%2F11c48p0fxc!19sChIJe9HOWRRhUjoROzMyBc22rbE?authuser=0&hl=en&rclk=1,https://rktechsoftindia.co.in/,RK Techsoft India
Porur,TabSquare Info Tech Pvt. Ltd.,tech,https://www.google.com/maps/place/TabSquare+Info+Tech+Pvt.+Ltd./data=!4m7!3m6!1s0x3a526103eaa87f09:0xfb6109c71b1b85a0!8m2!3d13.0365324!4d80.1497171!16s%2Fg%2F11c0rmh0rm!19sChIJCX-o6gNhUjoRoIUbG8cJYfs?authuser=0&hl=en&rclk=1,http://tabsquareinfotech.com/,TabSquare Info Tech Pvt. Ltd.
Porur,10Decoders Consultancy Services Pvt Ltd,tech,https://www.google.com/maps/place/10Decoders+Consultancy+Services+Pvt+Ltd/data=!4m7!3m6!1s0x3a5260e3781009b7:0xc72f5cdd33686a05!8m2!3d13.0310781!4d80.1623841!16s%2Fg%2F11bw_79r5w!19sChIJtwkQeONgUjoRBWpoM91cL8c?authuser=0&hl=en&rclk=1,https://10decoders.com/,10Decoders Consultancy Services Pvt Ltd
Porur,RSN Infotech PVT Ltd,tech,https://www.google.com/maps/place/RSN+Infotech+PVT+Ltd/data=!4m7!3m6!1s0x3a526166c8d371e1:0x3a53da72bb1f01c5!8m2!3d13.0326804!4d80.1570952!16s%2Fg%2F11t3fk2n8g!19sChIJ4XHTyGZhUjoRxQEfu3LaUzo?authuser=0&hl=en&rclk=1,http://www.rsninfotech.com/,RSN Infotech PVT Ltd
Porur,CloudsDial IT Services Pvt Ltd -Software and Telecom Solution Chennai,tech,https://www.google.com/maps/place/CloudsDial+IT+Services+Pvt+Ltd+-Software+and+Telecom+Solution+Chennai/data=!4m7!3m6!1s0x3a5260e696a4b107:0xc7bfedc85c25bca4!8m2!3d13.04011!4d80.1573397!16s%2Fg%2F11f4_c_nsf!19sChIJB7GkluZgUjoRpLwlXMjtv8c?authuser=0&hl=en&rclk=1,https://www.cloudsdials.com/,CloudsDial IT Services Pvt Ltd -Software and Telecom Solution Chennai
Porur,UPS India Technology Center,tech,https://www.google.com/maps/place/UPS+India+Technology+Center/data=!4m7!3m6!1s0x3a5261000f867c33:0xfb439d39ab20c7f1!8m2!3d13.0327242!4d80.1686063!16s%2Fg%2F11ldddbbkt!19sChIJM3yGDwBhUjoR8ccgqzmdQ_s?authuser=0&hl=en&rclk=1,https://about.ups.com/us/en/home.html,UPS India Technology Center
Porur,Maveric Systems Limited,fintech,https://www.google.com/maps/place/Maveric+Systems+Limited/data=!4m7!3m6!1s0x3a526616a78b1703:0x526983c8c22ac0bd!8m2!3d13.0225336!4d80.1743287!16s%2Fg%2F1tj3jh6z!19sChIJAxeLpxZmUjoRvcAqwsiDaVI?authuser=0&hl=en&rclk=1,https://bit.ly/48eVu8s,Maveric Systems Limited
Porur,Kaleidofin Private Limited,fintech,https://www.google.com/maps/place/Kaleidofin+Private+Limited/data=!4m7!3m6!1s0x3a5267f785c69fdb:0x21a5d0f2c37e56f7!8m2!3d12.991873!4d80.2440593!16s%2Fg%2F11fhqhb9rm!19sChIJ25_GhfdnUjoR91Z-w_LQpSE?authuser=0&hl=en&rclk=1,http://www.kaleidofin.com/,Kaleidofin Private Limited
Porur,CloudBankin,fintech,https://www.google.com/maps/place/CloudBankin/data=!4m7!3m6!1s0x3a525d5fead3c5e7:0xa1a0114c4d239afe!8m2!3d12.9687355!4d80.2479013!16s%2Fg%2F1td4hjyl!19sChIJ58XT6l9dUjoR_pojTUwRoKE?authuser=0&hl=en&rclk=1,https://cloudbankin.com/,CloudBankin
Porur,myHarvest Farms,fintech,https://www.google.com/maps/place/myHarvest+Farms/data=!4m7!3m6!1s0x3a52611a24e083fb:0x3b3fd45a29f535a3!8m2!3d13.0237578!4d80.163499!16s%2Fg%2F11fb0rdnq5!19sChIJ-4PgJBphUjoRozX1KVrUPzs?authuser=0&hl=en&rclk=1,https://myharvestfarms.com/,myHarvest Farms
Porur,GAJENDRAN FINANCE ADVISOR,fintech,https://www.google.com/maps/place/GAJENDRAN+FINANCE+ADVISOR/data=!4m7!3m6!1s0x3a5261273e2b3fa1:0x2359055ff220c26f!8m2!3d13.034453!4d80.1721454!16s%2Fg%2F11sz0gqg03!19sChIJoT8rPidhUjoRb8Ig8l8FWSM?authuser=0&hl=en&rclk=1,N/A,GAJENDRAN FINANCE ADVISOR
